word,root,gloss,class,role
àpɾí,àpɾí,boy,j,subject
àpɾíɲá,àpɾí,boy,j,object
ðàŋàl,ðàŋàl,sheep,ð,subject
ðàŋàlà,ðàŋàl,sheep,ð,object
