word,root,gloss,part_of_speech,features
ə̀və̀lɛ̀ðᴐ́,vəlɛð,pull,verb,PFV.VENT
à və́lɛ̀ðɛ̀,vəlɛð,pull,verb,PFV.IT
á və̀lɛ̀ðᴐ́,vəlɛð,pull,verb,IPFV.VENT
á və́lɛ̀ðà,vəlɛð,pull,verb,IPFV.IT
àpᴐ́,ap,carry,verb,PFV.VENT
ápɛ̀,ap,carry,verb,PFV.IT
á àpᴐ́,ap,carry,verb,IPFV.VENT
á ápà,ap,carry,verb,IPFV.IT
