word,root,gloss,class,role,word_set,set_type
àpɾí,àpɾí,boy,j,subject,*,tam_alternation|nomacc_alternation
àpɾíɲá,àpɾí,boy,j,object,*,tam_alternation|nomacc_alternation
ðàŋàl,ðàŋàl,sheep,ð,subject,*,tam_alternation|nomacc_alternation
ðàŋàlà,ðàŋàl,sheep,ð,object,*,tam_alternation|nomacc_alternation
lúwᴐ́,lúwᴐ́,clothing,l,invariant,sticks_stab,noun_verb_alternation
ŋᴐ̀mᴐ̀,ŋᴐ̀mᴐ̀,food,ŋ,invariant,stick_chop,noun_verb_alternation
